Job_Title,Skill,Company,Company_Industry,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees
Geographic Information System (GIS) Data Analyst,Microsoft Office| Alteryx| Data Analysis| Six Sigma Certification| Six Sigma| GIS,Kroger,Retail,24248,3.599999905,14,OR,"10,000+"
Data Analyst II,Data Warehouse| Data Analysis| Audits| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,30,NM,"Less than 10,000"
CCPM Data Analyst,Microsoft Office| Excel| SQL| Tableau| Microsoft Access| T-SQL| Content Management Systems| Microsoft Word,Penobscot Community Health Care,Health Care,17,3.5,30,ME,
Digital Data Analyst,Google Analytics| Marketing| Digital Marketing| Tableau| Multichannel Marketing| Attribution Modeling,Unilever,Consumer Goods and Services,5416,4.199999809,30,NJ,"10,000+"
Data Analytics Analyst,Time Management| Machine Learning| R| SAS| Microsoft Office| Excel| SQL| Tableau| Python,NRG Energy,Energy and Utilities,319,3.900000095,29,NY,"Less than 10,000"
Research and Data Analyst,R| Excel| SQL| SPSS| Leadership Experience| SAS| Microsoft Office| Tableau| Visio,State of Arizona,Government,724,3.599999905,26,AZ,"10,000+"
Data Analyst,Hyperion| Project Management| Marketing| R| Crystal Reports| SQL| Microsoft Office| Tableau| Microsoft Access| Python| Coaching Experience,Laureate International Universities,Education and Schools,234,3.5,30,MD,
Data Analyst,Microsoft Powerpoint,QuEST Global Engineering,Aerospace and Defense,139,3.299999952,27,CT,"10,000+"
Executive Assistant and Data Analyst,SharePoint| Hyperion| Microsoft Powerpoint| Microsoft Office,ITT Corporation,,865,3.799999952,8,PA,
IT Enterprise Data Analyst,Business Intelligence| Data Mining| Data Warehouse| R| SAS| Oracle| SQL,Citizens Energy Group,,21,3.599999905,1,IN,
"SQL Data Analyst - Fort Mill, SC",SQL,LiniumTalentAcquistion,,,,30,SC,
Data Analyst,JavaScript| SQL| Microsoft Office| Java| Microsoft Word| Angular| Visio| Data Analysis| PHP,Nolij Consulting,,6,3.299999952,12,VA,
Business Data Analyst,Data Mining,University of Utah,Education and Schools,430,4.199999809,30,UT,"10,000+"
Business Operations Data Analyst,Microsoft Powerpoint| Excel| Microsoft Office,ACN,,265,3.700000048,30,NC,
Business Data Analyst,SDLC,Cognizant,Internet and Software,10491,4,7,CT,"10,000+"
Market Data Analyst,,alliantgroup,Consulting and Business Services,43,2.5,30,TX,"Less than 10,000"
HEDIS/Quality Improvement Data Analyst,Epic| R| SAS| SQL| Microsoft Office| Tableau| Microsoft Word| Cerner| SPSS| Python,Blue Cross Blue Shield of Arizona Advantage,Health Care,2,2.5,1,AZ,
Healthcare Data Analyst,Quantitative Analysis| Time Management| R| SAS| Python| Excel| SQL,Milliman,,87,3.700000048,30,IN,
Real Estate Data Analyst,Tableau,Conduent,Consulting and Business Services,2773,2.799999952,11,NJ,"10,000+"
ERP Data Analyst,ERP Systems| Microsoft Office,Wildlife Conservation Society,Organization,146,3.900000095,30,NY,
Data Analyst,Data Mining| Analysis Skills| QlikView| SAS| SQL| Microsoft Office| Tableau,Carter Bank and Trust,Banks and Financial Services,24,3.299999952,24,VA,"Less than 10,000"
Financial Data Analyst,,Astor Services For Children & Families,,26,2.700000048,8,NY,"Less than 10,000"
Marketing Data Analyst,Marketing| Digital Marketing| SQL| Tableau,2U,,,,10,MD,
Data Analyst,,Systems Staffing Group,,,,9,GA,
Financial Data Analyst - Apparel and E-commerce,Time Management| Project Management| Business Analysis| Tableau,"Zumba Fitness, LLC",Consumer Goods and Services,10,4,14,FL,
Consumer Data Analyst I,Time Management| Power BI| R| SAS| Microsoft Office| Python,BOK Financial,Banks and Financial Services,321,3.700000048,6,OK,"Less than 10,000"
Research Data Analyst,MATLAB| Signal Processing,Alaka`ina Foundation Family of Companies,,,,17,AL,
Data Analyst,Microsoft SQL Server| Financial Accounting| Accounting| ERP Systems| Visual Basic| Power BI| Excel| Microsoft Access,CHEP,Consulting and Business Services,480,3.599999905,30,FL,"10,000+"
Data Analyst (Research Analyst),ICD-10| Microsoft Powerpoint| SAS| Microsoft Office| ICD-9| Medical Coding,Harvard Pilgrim Health Care,Health Care,65,4.099999905,13,MA,"Less than 10,000"
"Sr. Analyst, Data Analytics",SQL,First National Bank of Omaha,Banks and Financial Services,131,4.199999809,16,NE,
Data Analyst III,Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,27,FL,"Less than 10,000"
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,UL LLC,,262,3.700000048,30,IL,
Data Analyst - Analytic Solutions,Data Analysis| R| SAS| Python| SQL,Credit Acceptance,Banks and Financial Services,120,3.599999905,20,MI,"Less than 10,000"
Senior Client Insights Data Analyst,,Sun Life Financial,Insurance,923,3.900000095,5,MO,"10,000+"
Senior Client Insights Data Analyst,,Sun Life Financial,Insurance,923,3.900000095,5,ME,"10,000+"
Military Fitness Programs Data Analyst,Data Analysis| Microsoft Office,8-Koi,,,,21,TN,
"Data Analyst, Reporting & Analysis",Hyperion| Oracle| SQL| Microsoft Office| Excel| Tableau| Microsoft Access| Data Analysis,The New School,Education and Schools,103,3.900000095,20,NY,
Data Analyst III (Technical),,Kaiser Permanente,Health Care,8164,4.199999809,30,OR,"10,000+"
Order Management Data Analyst,Excel| SQL,Curriculum Associates,"Media, News and Publishing",8,4.099999905,30,MA,"Less than 10,000"
Technical Data Analyst,JavaScript| Digital Marketing| CSS| Python| HTML5| SQL,Dyson,Consumer Goods and Services,235,3.700000048,12,IL,"Less than 10,000"
Business Data Analyst,Data Mining,University of Utah,Education and Schools,430,4.199999809,30,UT,"10,000+"
MS Access / VBA Developer / Data Analyst,Microsoft SQL Server| Active Directory| Visual Basic| SDLC| SAP| Microsoft Office| SQL| Microsoft Access,Cormac Corporation,,4,4.300000191,4,DC,
Surveillance Data Analyst,Microsoft SQL Server| R| Eclipse| Crystal Reports| SQL| STATA| MySQL| C#| SPSS| PostgreSQL| OOP| SAS| Java| .Net| Visual Studio| UI,Battelle,Consulting and Business Services,291,3.799999952,14,GA,"10,000+"
Real Estate Data Analyst,Tableau,Conduent,Consulting and Business Services,2773,2.799999952,11,NJ,"10,000+"
Data Analyst,JavaScript| R| SQL| HTML5| Tableau| CSS,Commonwealth Of Virginia,,,,30,VA,
DATA ANALYST/SPECIALIST - Admitting (Full Time),Data Mining| Analysis Skills,Universal Health Services,Health Care,56,4,30,DC,
Healthcare Data Analyst II,SQL| Tableau,Premera Blue Cross,Insurance,296,3.700000048,6,WA,"Less than 10,000"
Data Analyst II,Data Analysis| R| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,30,IL,"Less than 10,000"
Sr Data Analyst,Data Analysis| R| Python| SQL,"Gartner, Inc.","Media, News and Publishing",307,3.799999952,27,TX,"Less than 10,000"
Healthcare Data Analyst,Microsoft SQL Server,"Baltimore Medical System, Inc.",,41,2.799999952,30,MD,
Compliance Data Analyst,Python| Excel| SQL| Microsoft Access,Ensign Services,Health Care,174,2.799999952,30,CA,"10,000+"
"HR Reporting and Data Analyst , CSS HR/APS -",CSS,University of California Berkeley,Education and Schools,263,4.099999905,7,CA,
Data Analyst - Omni-Channel Marketing,Database Marketing| Data Mining| Marketing| Python| SQL| Tableau,Fossil Group,Consumer Goods and Services,110,3.900000095,30,TX,"10,000+"
Hub Data Analyst,Microsoft Powerpoint| SAS| SQL| Microsoft Office,Fund for Public Health in New York City,,,,30,NY,
Data Analyst - University Institutional Research & Reporting,,Indiana University,Education and Schools,332,4.300000191,4,IN,
Enrollment Data Analyst - Siena College,,Siena College,Education and Schools,56,4.099999905,18,NY,
Data Analyst,T-SQL| Database Administration| Microsoft SQL Server| Analysis Skills| Visual Basic| SQL| Excel,Precision Value & Health,,,,30,IN,
Marketing Data Analyst,Alteryx| Marketing| Python| Excel| SQL| Microsoft Access| Tableau,MassMutual Financial Group,Banks and Financial Services,845,3.799999952,30,CT,"Less than 10,000"
Clinical Data Analyst,,Piedmont Healthcare,Health Care,347,3.700000048,30,GA,
Quality Data Analyst,Project Management| Quality Management| Minitab,Cook Medical,,146,3.700000048,30,IN,
"Data Analyst, Quality Built-In",Microsoft Powerpoint| Visio| Microsoft Office,Children's Hospital & Research Center Oakland,Health Care,7,3.299999952,30,CA,
eBusiness Data Analyst,Google Analytics| Machine Learning| Microsoft Powerpoint| R| SQL| Spark| MATLAB| Python,EMD,Industrial Manufacturing,50,4,30,MO,"10,000+"
Healthcare Data Analyst II - MHE,Data Mining| Time Management| SAS| Excel| SQL,University of Massachusetts Medical School,Education and Schools,689,4.199999809,1,MA,
Sales Operations - Data Analyst,,GrayMatter,,,,16,PA,
Data Analyst III,Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,25,FL,"Less than 10,000"
Market Data Analyst,Microsoft Office,Parametric,,8,3.299999952,30,WA,
Data Analyst,Business Intelligence| Microsoft Powerpoint| Project Management| Excel| Tableau| Alteryx,Neuberger Berman,Banks and Financial Services,61,3.799999952,30,NY,"Less than 10,000"
Sales Operations - Data Analyst,Microsoft Office,Gray Matter Systems,,,,16,PA,
"Data Analyst III(SQL, Excel, Healthcare)",PeopleSoft| Business Intelligence| Project Management| SAP| Excel| SQL| Microsoft Office| Workday| Microsoft Access| Project Implementation| Data Warehouse| Data Analysis,Centene,InsuranceHealth Care,1134,3.299999952,2,PA,"Less than 10,000"
Senior Data Analyst,R| SAS| STATA,Harvard University,Education and Schools,607,4.300000191,30,MA,
Senior Data Analyst,Time Management| Data Analysis| SQL,Partners HealthCare,Health Care,351,4,30,MA,
Business Process/Data Analyst,Microsoft Office| Microsoft Access,KBRWyle,Government,183,3.900000095,30,TX,"10,000+"
Bioinformatics Data Analyst I,Machine Learning| R| C/C++| SQL| Natural Language Processing| STATA| Analysis Skills| Software Development| Data Analysis| OOP| Molecular Biology| Epidemiology| Data Mining| Time Management| Hadoop| SAS| Java| Python,University of Utah,Education and Schools,430,4.199999809,30,UT,"10,000+"
HRIS Data Analyst,Employee Evaluation| Microsoft Office| Microsoft Access,Anchorage Consultants LLC,,,,1,DC,
"Data Analyst, Bureau of Primary Care Access and Planning",Microsoft Powerpoint| SAS| SQL| Microsoft Word| SPSS,NYC Careers,Government,265,4.099999905,1,NY,
Business Data Analyst,Data Analysis,Capgemini,Consulting and Business Services,6072,3.799999952,29,NC,"10,000+"
Active Directory Data Analyst,Microsoft SQL Server| Azure| SDLC| Microsoft Office| SQL| Active Directory| Data Warehouse| Software Development,Advantage Solutions,Retail,1985,3.5,16,CA,"10,000+"
Pyro/Demo and Explosive Breaching Data Analyst (Journeyman),Microsoft Word| Microsoft Powerpoint| Microsoft Office,"Cydecor, Inc.",Consulting and Business Services,11,3.900000095,20,VA,"Less than 10,000"
Senior Data Analyst,Machine Learning| SQL| Python,Toole Design Group LLC,,,,6,MA,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,,34,3.700000048,26,TX,
Epidemiologist and Data Analyst-FHP,Statistical Software| SPSS,BRS,,34,3.700000048,26,TX,
Master Data Analyst,,FARO Technologies,Industrial Manufacturing,57,3.5,30,FL,
Health Data Analyst - Experienced,R| SAS| Microsoft Office| SQL| Microsoft Access| Python,Blue Shield of California,Health Care,542,3.599999905,21,CA,"Less than 10,000"
Marketing Data Analyst,Business Intelligence| Microsoft Powerpoint| Marketing Automation| Marketing| Omniture| SQL| Tableau| Marketo| Visio| Doubleclick| Multichannel Marketing,Rauxa,,12,3.5,27,CA,
Quality Data Analyst,"Microsoft Powerpoint| ""Drivers License""| Clean Driving Record| Leadership Experience| Microsoft Office| SQL",Altair Engineering,,62,4.199999809,9,MI,
"Data Analyst, Games and Marketing",Quantitative Analysis| R| Python| SQL| Tableau,Kongregate,,,,30,OR,
Surveillance Data Analyst,Microsoft SQL Server| R| Eclipse| Crystal Reports| SQL| STATA| MySQL| C#| SPSS| PostgreSQL| OOP| SAS| Java| .Net| Visual Studio| UI,Battelle,Consulting and Business Services,291,3.799999952,20,GA,"10,000+"
Operations Data Analyst,,TracyLocke,Consulting and Business Services,17,3.900000095,30,IL,"Less than 10,000"
Associate Data Analyst,Hadoop| R| SQL| Data Analysis| Python,comScore,,62,3.5,30,VA,
Clinical Data Analyst – FHC Clinical Outcomes – Altamonte,Microsoft Powerpoint| RN| ICU| Nursing Experience| Leadership Experience,Florida Hospital,Health Care,1983,4.099999905,1,FL,"10,000+"
Junior Data Analyst,Microsoft SQL Server| R| SAS| Oracle| SQL| Tableau| Java| Data Warehouse| Data Analysis| Python,CACI,Consulting and Business Services,1435,3.900000095,30,DC,"10,000+"
Data Analyst - Heart Source,Microsoft Office| Tableau| Data Analysis,Columbia University,Education and Schools,830,4.099999905,30,NY,
Data Analyst II,Business Intelligence| SQL| QlikView,Adventist Health System,Health Care,46,3.799999952,5,TX,
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,Aerospace and Defense,6415,4.099999905,30,TX,"10,000+"
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,Aerospace and Defense,6415,4.099999905,30,TX,"10,000+"
Data Analyst,Analysis Skills| Machine Learning| R| Python| Tableau,Lockheed Martin Corporation,Aerospace and Defense,6415,4.099999905,30,TX,"10,000+"
Data Analyst. Customer Experience,Big Data| Data Science| Python| SQL,Geotab,Internet and Software,8,3.799999952,30,NV,"Less than 10,000"
"Data Analyst, Shutterfly Business Solutions",JavaScript,Shutterfly,Retail,376,3.799999952,9,MN,
Data Analyst - Media Analytics,Excel,Nielsen,Consulting and Business Services,2066,3.799999952,30,CT,"10,000+"
HR Data Analyst,UltiPro| Microsoft Powerpoint| Excel,Rosecrance Health Network,Health Care,72,3.5,29,IL,
HR Data Analyst II (896),Microsoft Powerpoint| Microsoft Office| Professional In Human Resources| SHRM Certified Professional,Engie,Energy and Utilities,781,3.700000048,13,TX,
Defined Benefit Data Analyst,,Morneau Shepell,Consulting and Business Services,226,3.099999905,30,CT,"Less than 10,000"
Personal Lines & Farm Underwriting Data Analyst,SQL| Tableau,Farm Bureau Insurance of Michigan,Insurance,177,4.099999905,2,MI,"Less than 10,000"
"Data Analyst, Development & Alumni Relations",Business Intelligence| Data Mining| SAS| Crystal Reports| SQL| Tableau,Pace University,Education and Schools,270,4.300000191,1,NY,
Data Analyst III,Microsoft SQL Server| Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,27,FL,"Less than 10,000"
Performance Improvement Data Analyst,Data Mining| Project Management| Excel,Einstein Healthcare Network,Health Care,112,3.400000095,19,PA,"Less than 10,000"
Data Analyst,Business Intelligence| Project Management,Travelers,Insurance,1434,3.700000048,30,CT,"10,000+"
Sr. Campaign Data Analyst,Microsoft Powerpoint,SUBWAY,Food and Beverages,33082,3.700000048,30,CT,"10,000+"
Senior Data Analyst,MATLAB,EnerNOC,Energy and Utilities,43,3.799999952,30,OR,"Less than 10,000"
Senior Data Analyst,Machine Learning| SQL| Python,Toole Design Group LLC,,,,6,MN,
Senior Client Insights Data Analyst,,Sun Life Financial,Insurance,923,3.900000095,5,CT,"10,000+"
Data Analyst,JavaScript| Data Mining| SPSS| XML| SAS| SQL,Cricut,Consumer Goods and Services,10,3.299999952,30,UT,"Less than 10,000"
Marketing Data Analyst,Salesforce CRM| Salesforce Marketing Cloud| Microsoft Powerpoint| Marketing| Excel| Microsoft Office,The Money Source,,55,2.799999952,30,MI,
Data Analyst,Confluence| XML| SAS| Jira| SQL,Evolent Health,Health Care,90,3.700000048,30,IL,"Less than 10,000"
Business Data Analyst,Oracle| Crystal Reports| SQL,DHL,,323,3.900000095,26,OH,
Health Data Analyst - Experienced,R| SAS| Microsoft Office| SQL| Microsoft Access| Python,Blue Shield of California,Health Care,542,3.599999905,20,CA,"Less than 10,000"
Data Analyst (mid-level),Google Analytics| R| SQL| Excel| Python,WW International (formerly Weight Watchers),,,,26,NY,
Business Data Analyst,Data Analysis,Capgemini,Consulting and Business Services,6072,3.799999952,30,NC,"10,000+"
Sr Data Analyst,Data Analysis| SAS| SQL,General Dynamics Information Technology,Aerospace and Defense,4573,3.799999952,14,IA,"10,000+"
Strategic Operations Data Analyst,Time Management| SQL| Microsoft Office,Santander Consumer USA,Banks and Financial Services,601,3.400000095,10,TX,"Less than 10,000"
"Analyst, Data and Analytics Support",Excel,Parametric,,8,3.299999952,26,WA,
Python Programmer & Data Analyst Administrator,Microsoft Powerpoint| Mac OS| Python| Microsoft Office| SQL| Tableau,"Nordic Naturals, Inc.",,21,3.900000095,30,CA,
Data Analytics Analyst,,CSRA,,318,3.5,30,VA,
Business Data Analyst,Power BI| Data Analysis| Statisical Analysis| Excel,Underwriters Laboratories,,262,3.700000048,30,IL,
Data Analyst - Quality Improvement - Full Time - Days,Microsoft Powerpoint| RHIT| NCQA Standards| CPT Coding| Microsoft Office| Managed Care,ProMedica,Health Care,281,3.799999952,30,OH,"10,000+"
Project Data Analyst I - Security,Microsoft Word| Military Experience| Microsoft Office,"Akima, LLC",Aerospace and Defense,219,3.599999905,9,VA,"Less than 10,000"
Data Analyst Professional,SOX| Visio| Business Analysis| Excel| SQL,Freddie Mac,Banks and Financial Services,607,3.900000095,30,VA,"Less than 10,000"
Research and Data Analyst-Student Learning,Data Mining| Data Analysis,Northeastern University,Education and Schools,378,4.300000191,30,MA,
Clinical Data Analyst,,"Beaver Dam Community Hospitals, Inc.",Health Care,2,5,11,WI,
Metrics and Data Analytics Analyst,,CSRA,,318,3.5,30,VA,
Fraud Data Analyst,Data Analysis| Oracle| SQL,U.S. Bank,Banks and Financial Services,5986,3.700000048,25,MN,"10,000+"
Data Analyst (Jr. Level),Adobe Acrobat| Microsoft Powerpoint| Microsoft Office,Alion Science and Technology,Internet and Software,192,3.599999905,22,DC,"Less than 10,000"
"Data Analyst, Games and Marketing",,Kongregate,,,,30,OR,
Associate Data Analyst,SAS| SQL,Discover Financial Services,Banks and Financial Services,1948,4,30,IL,"10,000+"
Housing Data Analyst - Block Grant Assistance,Data Analysis| Excel| Microsoft Access,Cloudburst Consulting Group Inc,,,,21,MD,
Data Analyst,,Crozer Keystone Health System,Health Care,104,3.5,26,PA,"Less than 10,000"
Data Analyst,Quantitative Analysis| Microsoft Powerpoint| Microsoft Office| SharePoint| Visio,Capgemini Government Solutions,Consulting and Business Services,6072,3.799999952,30,IN,"10,000+"
Data Analyst,Excel,CompuGain,,14,4.099999905,4,CT,
"Data Analyst, Gas Materials & Standards",Visual Basic| HTML5| SQL| Microsoft Access| Java| SharePoint,National Grid,,575,3.900000095,29,NY,
Clinical Data Analyst,Hyperion| R| SAS| SQL| Excel| Tableau| Microsoft Access| SPSS| QlikView| Medical Terminology| Data Analysis,Envision Healthcare,Health Care,149,3.599999905,26,FL,
Senior Data Analyst,SharePoint| Data Mining| Excel| SQL,Molina Healthcare,Insurance,922,3.400000095,13,CA,"10,000+"
SAP BW / Data Analyst (W2),Data Analysis| SAP,Arthur Lawrence,Human Resources and Staffing,25,4,5,TX,
"Data Analyst II(SQL, SSIS, Healthcare)",Data Analysis| SQL| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,30,TX,"Less than 10,000"
Capital Markets Data Analyst,Microsoft SQL Server| Business Analysis| Oracle| SQL,Synechron,Consulting and Business Services,212,3.599999905,30,NC,"Less than 10,000"
Senior Data Analyst,R| SAS| Oracle| Python| SQL| Tableau,Mid-Atlantic Permanente Medical Group,Health Care,4,3,7,MD,"Less than 10,000"
Medical Systems Data Analyst,Power BI| Crystal Reports| Microsoft Office| SQL| Tableau,Epic Care,,19,2.5,26,CA,
Data Analyst,FTP| Telecommunication| Project Management| SQL| Excel,Calero Software,,15,3.099999905,30,NY,
"Consulting Data Analyst - Epidemiology, Bio-statistics, SAS,...",,Kaiser Permanente,Health Care,8164,4.199999809,30,CA,"10,000+"
Data Analyst - Quality and Process Improvement Data,Oracle,BAE Systems,Aerospace and Defense,3246,3.900000095,30,NY,"10,000+"
Sr. Marketing Data Analyst,Microsoft Powerpoint| R| Marketing| SAS| Excel,GM Financial,Auto,514,3.700000048,7,MI,"Less than 10,000"
Software Data Analyst,Microsoft SQL Server| SQL| Microsoft Office| Data Analysis,CCC Information Services Inc.,Internet and Software,73,3.900000095,30,NJ,"Less than 10,000"
"Data Analyst, Sr",PeopleSoft| MySQL| Microsoft SQL Server| SPSS| R| Oracle| SAS,Emory University,Education and Schools,580,4.099999905,6,GA,
Data Analyst,Microsoft SQL Server| Quantitative Analysis| Machine Learning| Microsoft Powerpoint| R| SAS| Oracle| SQL| Microsoft Office| Tableau| SPSS| Software Development| Python,CBRE,Real EstateReal Estate,2216,3.799999952,20,OH,"10,000+"
Business Data Analyst,Time Management| Microsoft Powerpoint| SQL| Tableau,Freedom Financial Network,Banks and Financial Services,142,3.599999905,30,CA,"Less than 10,000"
Enterprise Analytics Data Analyst II,Crystal Reports| SQL,Self Regional Healthcare,Health Care,98,3.900000095,10,SC,
Health Data Analyst II Decision Support,,Kaiser Permanente,Health Care,8164,4.199999809,7,OR,"10,000+"
Research Data Analyst,Machine Learning| Microsoft Office,Stanford University,Education and Schools,530,4.300000191,29,CA,"Less than 10,000"
Master Data Analyst,Data Mining| ERP Systems| Microsoft Office,BlueLinx Corporation,,99,3.200000048,30,GA,
Procurement Data Analyst,Microsoft SQL Server| Microsoft Powerpoint| Microsoft Office| SQL,KGPCo,Telecommunications,102,3.299999952,30,MN,"Less than 10,000"
Marketing Data Analyst,Google Analytics| Marketing,DISH,"Media, News and Publishing",4479,3.299999952,30,CO,"10,000+"
Sr. Customer Data Analyst,Microsoft SQL Server| Visual Basic| SQL,LTD Commodities,,205,3.700000048,26,IL,
Health Data Analyst - Medicare,Microsoft Powerpoint| SAS| Excel| SQL| Tableau,Prime Therapeutics,,370,3.400000095,19,MN,
Department Data Analyst - Ft. Worth - Moncrief Cancer Instit...,R| SAS| SQL,UT Southwestern Medical Center,Health Care,500,3.900000095,23,TX,
Data Analyst (U.S. Border Patrol),Microsoft Word| SharePoint| Microsoft Powerpoint| Power BI| Tableau,Logistics Management Institute,,44,4,30,VA,
Public Health Data Analyst,Epidemiology| Qualtrics| SAS| SQL| Excel| HTML5| Microsoft Access| Medical Terminology| Data Analysis,Emory University,Education and Schools,580,4.099999905,30,GA,
Data Analyst - Automotive Retail,Microsoft Powerpoint| SQL| Tableau,Frogdata,,,,14,MI,
SQL Data Analyst/Programmer/Report Writer,Business Intelligence| Microsoft SQL Server| XML| Project Management| SQL| Accounting| QlikView| Data Analysis,The Logistics Company,Government,58,3.799999952,5,NC,"Less than 10,000"
Marketing Data Analyst,Customer Segmentation| Microsoft Powerpoint| Marketing| Microsoft Office,Imerys,,228,4,30,GA,
Data Analyst,JavaScript| Database Administration| R| SQL,T. Parker Host,Transport and Freight,7,3.700000048,30,VA,
Healthcare Data Analyst,Visual Basic| SAS| SQL| CPT Coding| Excel| ICD-9| Medical Insurance| Medical Coding,Milliman,,87,3.700000048,30,NJ,
Data Analyst Technician,,Jacobs,Construction,,,19,AL,"10,000+"
Senior Data Analyst,Machine Learning| SQL| Python,Toole Design Group LLC,,,,6,OR,
340B Data Analyst- Pharmacy,Business Analysis,Allegheny Health Network,Health Care,505,3.599999905,25,PA,
Operations Data Analyst,Excel| SQL| Tableau| Analysis Skills| QlikView,Gallagher,Insurance,665,3.299999952,30,IL,"10,000+"
Data Analyst,,Crozer Keystone Health System,Health Care,104,3.5,30,PA,"Less than 10,000"
Marketing Data Analyst,Database Marketing| Microsoft SQL Server| Microsoft Powerpoint| Google Analytics| Oracle| SAS| Omniture| Microsoft Office| SQL| Tableau| Python,maconit,,,,16,VA,
Data Analyst,Project Management,VCU Health System,Health Care,169,3.599999905,30,VA,"10,000+"
"Data Analyst II, Geriatrics/Palliative Care",Management Experience,Mount Sinai Health System,Health Care,1086,4,30,NY,"10,000+"
Marketing Data Analyst,Marketing,Benchmark Education Company,,16,2.900000095,30,NY,
Marketing Data Analyst,Microsoft Powerpoint| Marketing Automation| Oracle| SAS| SQL| Tableau,Oxford Global Resources,Human Resources and Staffing,63,3.299999952,20,MA,"Less than 10,000"
Federal - Data Analyst,,Accenture,Consulting and Business Services,14987,4,20,TX,"10,000+"
Fraud Detection & Prevention Data Analyst,CFE| Certified Compliance And Ethics Professional| Internal Audits,Change Healthcare,Health Care,448,3.200000048,30,GA,"10,000+"
Senior Client Insights Data Analyst,,Sun Life Financial,Insurance,923,3.900000095,5,MA,"10,000+"
"Clinical Data Analyst, Stroke Program, Days, PAH",,Piedmont Healthcare,Health Care,,,14,GA,
Business Data Analyst 1 (2018-077),R| Python,Astronics,,17,3.099999905,27,WA,
Public Health Data Analyst,Epidemiology| Qualtrics| Medical Terminology| SAS,Emory University,Education and Schools,580,4.099999905,30,GA,
Data Analyst,Power BI,"Accountants One, Inc",,9,4.400000095,21,GA,
Data Analyst Sr,Microsoft Office,Sedgwick Claims Management Services,Insurance,1005,3.200000048,30,CT,"10,000+"
Senior Data and Reporting Professional / Data Analyst - Knox...,QlikView| SAS| Excel| SQL| Tableau,Humana,Health Care,4686,3.700000048,19,FL,"10,000+"
Senior Data Analyst,QlikView| SQL,Internet Brands,,,,30,MI,
Portfolio Data Analyst,Project Management| SQL| Excel| Microsoft Office,Ameritas,Insurance,101,3.200000048,30,OH,"Less than 10,000"
Data Analyst Senior,,"Multnomah County, OR",,,,30,OR,
IT Data Analyst,Business Analysis,Allegheny Health Network,Health Care,505,3.599999905,30,PA,
Systems Data Analyst,,Mercy Health,,,,20,OH,
Senior Data Analyst,Python| Microsoft Office| Excel| SQL,Numerator,Consulting and Business Services,108,3.599999905,27,IL,"Less than 10,000"
Provider Data Analyst 4,Data Analysis| Excel| SQL| Microsoft Office| Microsoft Access,Centene,InsuranceHealth Care,1134,3.299999952,30,MO,"Less than 10,000"
Sr. Master Data Analyst Global Master Data Organization,Informatica| SQL| Microsoft Office| Excel,Ecolab,Industrial Manufacturing,1287,3.5,5,MN,"10,000+"
Marketing Data Analyst,Data Mining| Microsoft Powerpoint| SPSS| Marketing| R| Business Analysis| SAS| Omniture| SQL,Nextiva,Telecommunications,111,4.300000191,30,AZ,"Less than 10,000"
Data Analyst III - Managed Care,Time Management| Microsoft Powerpoint| SPSS| SAS,IPRO,,31,3.799999952,30,NY,
"Financial Analyst 2, Marketing Data and Analytics",Marketing| SQL| Excel| Tableau,Nordstrom,Retail,8955,4,18,WA,"10,000+"
Bioinformatician/Data Analyst,Linux| Perl| Bioinformatics| SQL| MATLAB| Molecular Biology| Epidemiology| SAS| Tableau| Java| Python,Battelle,Consulting and Business Services,291,3.799999952,30,GA,"10,000+"
Fair Lending Data Analyst,Microsoft Powerpoint| Excel,First Republic Bank,,131,4,30,CA,
Data Analyst II,Business Intelligence| SQL| QlikView,Adventist Health System,Health Care,1047,3.700000048,5,TX,
Business Intelligence Data Analyst - College Graduate CSO I...,Microsoft Powerpoint,Parker Hannifin Corporation,Industrial Manufacturing,1888,3.900000095,14,CA,"10,000+"
Data Analyst 2,Data Warehouse| SAS| Oracle| SQL| Microsoft Office,"Northwest Permanente, P.C.",,,,30,OR,
Data Analyst,JavaScript| Data Mining| Machine Learning| Visual Basic| Scripting| R| HTML5| Excel| CSS| Python,Booz Allen Hamilton,Consulting and Business Services,1733,3.900000095,30,VA,"10,000+"
Clinical Data Analyst,,Matheny School and Hospital,Health Care,2,4,30,NJ,
Senior Data Analyst,ERP Systems,Na Ali'i LLC,,,,30,PA,
Digital Communications Data Analyst,Google Analytics,The National Association of Manufacturers,,,,30,DC,
